# Column,Old name(s),Category,Definition,Not used?,In kitten?
VMICRO_APOGEE,VMICRO_APOGEE,CHEM,"Microturbulent velocity (f(log Teff, [M/H]) for giants) in cgs units from APOGEE",0,0
VMACRO_APOGEE,VMACRO_APOGEE,CHEM,"Macroturbulent velocity (f(log Teff, [M/H]) for giants) in cgs units from APOGEE",0,0
VSINI_APOGEE,VSINI_APOGEE,CHEM,Rotational+macroturbulent velocity (fit for dwarfs) in cgs units from APOGEE,0,1
ME_H_APOGEE,M_H_APOGEE,CHEM,[Z/H] from ASPCAP analysis of combined spectrum (from PARAM) from APOGEE,0,0
ERROR_ME_H_APOGEE,M_H_ERR_APOGEE,CHEM,[Z/H] uncertainty (from PARAM_COV) from APOGEE,0,0
ALPHA_M_APOGEE,ALPHA_M_APOGEE,CHEM,[alpha/M] from ASPCAP analysis of combined spectrum (from PARAM) from APOGEE,0,1
ERROR_ALPHA_M_APOGEE,ALPHA_M_ERR_APOGEE,CHEM,[alpha/M] uncertainty (from PARAM_COV) from APOGEE,0,1
ASPCAP_CHI2_APOGEE,ASPCAP_CHI2_APOGEE,METAOBS,Chi^2 from ASPCAP fit from APOGEE,1,0
ASPCAP_CLASS_APOGEE,ASPCAP_CLASS_APOGEE,METAOBS,Temperature class of best-fitting spectrum from APOGEE,1,0
ASPCAPFLAG_APOGEE,ASPCAPFLAG_APOGEE,FLAG,"Flag for ASPCAP analysis, see bitmask definitions in APOGEE",0,0
ASPCAPFLAGS_APOGEE,ASPCAPFLAGS_APOGEE,FLAG,Verbose/text form ASPCAPFLAG from APOGEE,1,0
PARAMFLAG_APOGEE,PARAMFLAG_APOGEE,FLAG,"Individual parameter flag for ASPCAP analysis, see bitmask definitions in APOGEE",1,0
FELEM_APOGEE,FELEM_APOGEE,DELETE,"Output individual element array from ASPCAP stellar abundances fit, in order given in ELEM_SYMBOL array in HDU3 from APOGEE",1,0
ERROR_FELEM_APOGEE,FELEM_ERR_APOGEE,DELETE,"Output individual element array from ASPCAP stellar abundances fit, in order given in ELEM_SYMBOL array in HDU3",1,0
X_H_APOGEE,X_H_APOGEE,DELETE,"Empirically calibrated individual element array, using ASPCAP stellar abundances fit + calibrations, all expressed in logarithmic abundance relative to H ([X/H]), in order given in ELEM_SYMBOL array in HDU3",1,0
ERROR_X_H_APOGEE,X_H_ERR_APOGEE,DELETE,"Uncertainty in all elements from APOGEE. Empirically calibrated individual element array, using ASPCAP stellar abundances fit + calibrations, all expressed in logarithmic abundance relative to H ([X/H]), in order given in ELEM_SYMBOL array in HDU3",1,0
X_M_APOGEE,X_M_APOGEE,DELETE,"Empirically calibrated individual element array, using ASPCAP stellar abundances fit + calibrations, all expressed in logarithmic abundance relative to M ([X/M]) in order given in ELEM_SYMBOL array in HDU3",1,0
ERROR_X_M_APOGEE,X_M_ERR_APOGEE,DELETE,"Uncertainty in all elements from APOGEE. Empirically calibrated individual element array, using ASPCAP stellar abundances fit + calibrations, all expressed in logarithmic abundance relative to M ([X/M]) in order given in ELEM_SYMBOL array in HDU3",1,0
C_FE_APOGEE,C_FE_APOGEE,CHEM,[C/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
CI_FE_APOGEE,CI_FE_APOGEE,CHEM,[Ci/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
N_FE_APOGEE,N_FE_APOGEE,CHEM,[N/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
O_FE_APOGEE,O_FE_APOGEE,CHEM,[O/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
NA_FE_APOGEE,NA_FE_APOGEE,CHEM,[Na/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
MG_FE_APOGEE,MG_FE_APOGEE,CHEM,[Mg/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
AL_FE_APOGEE,AL_FE_APOGEE,CHEM,[Al/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
SI_FE_APOGEE,SI_FE_APOGEE,CHEM,[Si/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
P_FE_APOGEE,P_FE_APOGEE,CHEM,[P/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
S_FE_APOGEE,S_FE_APOGEE,CHEM,[S/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
K_FE_APOGEE,K_FE_APOGEE,CHEM,[K/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
CA_FE_APOGEE,CA_FE_APOGEE,CHEM,[Ca/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
TI_FE_APOGEE,TI_FE_APOGEE,CHEM,[Ti/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
TIII_FE_APOGEE,TIII_FE_APOGEE,CHEM,[TiII/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
V_FE_APOGEE,V_FE_APOGEE,CHEM,[V/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
CR_FE_APOGEE,CR_FE_APOGEE,CHEM,[Cr/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
MN_FE_APOGEE,MN_FE_APOGEE,CHEM,[Mn/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
FE_H_APOGEE,FE_H_APOGEE,CHEM,[Fe/H] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
CO_FE_APOGEE,CO_FE_APOGEE,CHEM,[Co/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
NI_FE_APOGEE,NI_FE_APOGEE,CHEM,[Ni/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
CU_FE_APOGEE,CU_FE_APOGEE,CHEM,[Cu/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
GE_FE_APOGEE,GE_FE_APOGEE,CHEM,[Ge/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
RB_FE_APOGEE,RB_FE_APOGEE,CHEM,[Rb/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
Y_FE_APOGEE,Y_FE_APOGEE,CHEM,[Y/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
CE_FE_APOGEE,CE_FE_APOGEE,CHEM,[Ce/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
YB_FE_APOGEE,YB_FE_APOGEE,CHEM,[Yb/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ND_FE_APOGEE,ND_FE_APOGEE,CHEM,[Nd/Fe] from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_C_FE_APOGEE,C_FE_ERR_APOGEE,CHEM,[C/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_CI_FE_APOGEE,CI_FE_ERR_APOGEE,CHEM,[CI/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_N_FE_APOGEE,N_FE_ERR_APOGEE,CHEM,[N/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_O_FE_APOGEE,O_FE_ERR_APOGEE,CHEM,[O/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_NA_FE_APOGEE,NA_FE_ERR_APOGEE,CHEM,[Na/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_MG_FE_APOGEE,MG_FE_ERR_APOGEE,CHEM,[Mg/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_AL_FE_APOGEE,AL_FE_ERR_APOGEE,CHEM,[Al/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_SI_FE_APOGEE,SI_FE_ERR_APOGEE,CHEM,[Si/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_P_FE_APOGEE,P_FE_ERR_APOGEE,CHEM,[P/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_S_FE_APOGEE,S_FE_ERR_APOGEE,CHEM,[S/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_K_FE_APOGEE,K_FE_ERR_APOGEE,CHEM,[K/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_CA_FE_APOGEE,CA_FE_ERR_APOGEE,CHEM,[Ca/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_TI_FE_APOGEE,TI_FE_ERR_APOGEE,CHEM,[Ti/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_TIII_FE_APOGEE,TIII_FE_ERR_APOGEE,CHEM,[TiII/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_V_FE_APOGEE,V_FE_ERR_APOGEE,CHEM,[V/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_CR_FE_APOGEE,CR_FE_ERR_APOGEE,CHEM,[Cr/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_MN_FE_APOGEE,MN_FE_ERR_APOGEE,CHEM,[Mn/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_FE_H_APOGEE,FE_H_ERR_APOGEE,CHEM,[Fe/H] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_CO_FE_APOGEE,CO_FE_ERR_APOGEE,CHEM,[Co/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,1
ERROR_NI_FE_APOGEE,NI_FE_ERR_APOGEE,CHEM,[Ni/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_CU_FE_APOGEE,CU_FE_ERR_APOGEE,CHEM,[Cu/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_GE_FE_APOGEE,GE_FE_ERR_APOGEE,CHEM,[Ge/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_RB_FE_APOGEE,RB_FE_ERR_APOGEE,CHEM,[Rb/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_Y_FE_APOGEE,Y_FE_ERR_APOGEE,CHEM,[Y/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_ND_FE_APOGEE,ND_FE_ERR_APOGEE,CHEM,[Nd/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_CE_FE_APOGEE,CE_FE_ERR_APOGEE,CHEM,[Ce/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
ERROR_YB_FE_APOGEE,YB_FE_ERR_APOGEE,CHEM,[Yb/Fe] uncertainty from ASPCAP analysis of combined spectrum (from X_M) from APOGEE,0,0
C_FE_FLAG_APOGEE,C_FE_FLAG_APOGEE,FLAG,[C/Fe] flag from APOGEE,0,0
CI_FE_FLAG_APOGEE,CI_FE_FLAG_APOGEE,FLAG,[Ci/Fe] flag from APOGEE,0,0
N_FE_FLAG_APOGEE,N_FE_FLAG_APOGEE,FLAG,[N/Fe] flag in APOGEE,0,0
O_FE_FLAG_APOGEE,O_FE_FLAG_APOGEE,FLAG,[O/Fe] flag in APOGEE,0,0
NA_FE_FLAG_APOGEE,NA_FE_FLAG_APOGEE,FLAG,[Na/Fe] flag in APOGEE,0,0
MG_FE_FLAG_APOGEE,MG_FE_FLAG_APOGEE,FLAG,[Mg/Fe] flag from APOGEE,0,0
AL_FE_FLAG_APOGEE,AL_FE_FLAG_APOGEE,FLAG,[Al/Fe] flag from APOGEE,0,0
SI_FE_FLAG_APOGEE,SI_FE_FLAG_APOGEE,FLAG,[Si/Fe] flag in APOGEE,0,0
P_FE_FLAG_APOGEE,P_FE_FLAG_APOGEE,FLAG,[P/Fe] flag in APOGEE,0,0
S_FE_FLAG_APOGEE,S_FE_FLAG_APOGEE,FLAG,[S/Fe] flag in APOGEE,0,0
K_FE_FLAG_APOGEE,K_FE_FLAG_APOGEE,FLAG,[K/Fe] flag from APOGEE,0,0
CA_FE_FLAG_APOGEE,CA_FE_FLAG_APOGEE,FLAG,[Ca/Fe] flag from APOGEE,0,0
TI_FE_FLAG_APOGEE,TI_FE_FLAG_APOGEE,FLAG,[Ti/Fe] flag in APOGEE,0,0
TIII_FE_FLAG_APOGEE,TIII_FE_FLAG_APOGEE,FLAG,[TiII/Fe] flag in APOGEE,0,0
V_FE_FLAG_APOGEE,V_FE_FLAG_APOGEE,FLAG,[V/Fe] flag in APOGEE,0,0
CR_FE_FLAG_APOGEE,CR_FE_FLAG_APOGEE,FLAG,[Cr/Fe] flag from APOGEE,0,0
MN_FE_FLAG_APOGEE,MN_FE_FLAG_APOGEE,FLAG,[Z/H] flag in APOGEE,0,0
FE_H_FLAG_APOGEE,FE_H_FLAG_APOGEE,FLAG,[Fe/H] flag from APOGEE,0,0
CO_FE_FLAG_APOGEE,CO_FE_FLAG_APOGEE,FLAG,[Co/Fe] flag from APOGEE,0,0
NI_FE_FLAG_APOGEE,NI_FE_FLAG_APOGEE,FLAG,[Ni/Fe] flag in APOGEE,0,0
CU_FE_FLAG_APOGEE,CU_FE_FLAG_APOGEE,FLAG,[Cu/Fe] flag from APOGEE,0,0
GE_FE_FLAG_APOGEE,GE_FE_FLAG_APOGEE,FLAG,[Ge/Fe] flag from APOGEE,0,0
RB_FE_FLAG_APOGEE,RB_FE_FLAG_APOGEE,FLAG,[Rb/Fe] flag in APOGEE,0,0
Y_FE_FLAG_APOGEE,Y_FE_FLAG_APOGEE,FLAG,[Y/Fe] flag in APOGEE,0,0
ND_FE_FLAG_APOGEE,ND_FE_FLAG_APOGEE,FLAG,[Nd/Fe] flag in APOGEE,0,0
CE_FE_FLAG_APOGEE,CE_FE_FLAG_APOGEE,FLAG,[Ce/Fe] flag from APOGEE,0,0
YB_FE_FLAG_APOGEE,YB_FE_FLAG_APOGEE,FLAG,[Yb/Fe] flag from APOGEE,0,0
ELEM_CHI2_APOGEE,ELEM_CHI2_APOGEE,METAOBS,Chi^2 from ASPCAP fit of individual abundances from APOGEE,1,0
ELEMFLAG_APOGEE,ELEMFLAG_APOGEE,FLAG,"Flags for analysis of individual abundances, see bitmask definitions from APOGEE",1,0
REDUCTION_ID_APOGEE,REDUCTION_ID_APOGEE,METAOBS,Quasi-unique identifier: (HEY: The 1m targets have a blank string) in APOGEE,1,0
SRC_H_APOGEE,SRC_H_APOGEE,METAOBS,Source of H-Band photometry,0,0
WASH_M_APOGEE,WASH_M_APOGEE,PHOT,Washington M magnitude extracted from APOGEE,0,0
ERROR_WASH_M_APOGEE,WASH_M_ERR_APOGEE,PHOT,Uncertainty in Washington M magnitude extracted from APOGEE,0,0
WASH_T2_APOGEE,WASH_T2_APOGEE,PHOT,Washington T2 magnitude extracted from APOGEE,0,0
ERROR_WASH_T2_APOGEE,WASH_T2_ERR_APOGEE,PHOT,Uncertainty in Washington T2 magnitude extracted from APOGEE,0,0
DDO51_APOGEE,DDO51_APOGEE,PHOT,DDO 51 mag extracted from APOGEE,0,0
ERROR_DDO51_APOGEE,DDO51_ERR_APOGEE,PHOT,Uncertainty in DD0 51 magnitude extracted from APOGEE,0,0
IRAC_3_6_APOGEE,IRAC_3_6_APOGEE,PHOT,IRAC 3.6 micron magnitude extracted from APOGEE,0,0
ERROR_IRAC_3_6_APOGEE,IRAC_3_6_ERR_APOGEE,PHOT,Uncertainty in IRAC 3.6 micron magnitude extracted from APOGEE,0,0
IRAC_4_5_APOGEE,IRAC_4_5_APOGEE,PHOT,IRAC 4.5 micron magnitude extracted from APOGEE,0,0
ERROR_IRAC_4_5_APOGEE,IRAC_4_5_ERR_APOGEE,PHOT,Uncertainty in IRAC 4.5 micron magnitude extracted from APOGEE,0,0
IRAC_5_8_APOGEE,IRAC_5_8_APOGEE,PHOT,IRAC 5.8 micron magnitude extracted from APOGEE,0,0
ERROR_IRAC_5_8_APOGEE,IRAC_5_8_ERR_APOGEE,PHOT,Uncertainty in IRAC 5.8 micron magnitude extracted from APOGEE,0,0
IRAC_8_0_APOGEE,IRAC_8_0_APOGEE,PHOT,IRAC 8.0 micron magnitude extracted from APOGEE,0,0
ERROR_IRAC_8_0_APOGEE,IRAC_8_0_ERR_APOGEE,PHOT,Uncertainty in IRAC 8.0 micron magnitude extracted from APOGEE,0,0
WISE_4_5_APOGEE,WISE_4_5_APOGEE,PHOT,WISE 4.5 micron magnitude extracted from APOGEE,0,0
ERROR_WISE_4_5_APOGEE,WISE_4_5_ERR_APOGEE,PHOT,Uncertainty in WISE 4.5 micron magnitude extracted from APOGEE,0,0
TARG_4_5_APOGEE,TARG_4_5_APOGEE,METAOBS,4.5 micron magnitude adopted for dereddening for targeting in APOGEE,1,0
ERROR_TARG_4_5_APOGEE,TARG_4_5_ERR_APOGEE,PHOT,Uncertainty in 4.5 micron magnitude adopted for dereddening for targeting from APOGEE,1,0
AK_TARG_APOGEE,AK_TARG_APOGEE,PHOT,K-band extinction adopted for targetting in APOGEE,1,0
AK_TARG_METHOD_APOGEE,AK_TARG_METHOD_APOGEE,METAOBS,Method used to get targetting extinction in APOGEE,1,0
AK_WISE_APOGEE,AK_WISE_APOGEE,PHOT,WISE all-sky K-band extinction extracted from APOGEE,1,0
SFD_EBV_APOGEE,SFD_EBV_APOGEE,PHOT,SFD reddening from APOGEE,0,0
WASH_DDO51_GIANT_FLAG_APOGEE,WASH_DDO51_GIANT_FLAG_APOGEE,FLAG,Flagged as a giant for targeting purposes based on Washington/DDO 51 photometry extracted from APOGEE,1,0
WASH_DDO51_STAR_FLAG_APOGEE,WASH_DDO51_STAR_FLAG_APOGEE,FLAG,Flagged as a starfor targeting purposes based on Washington/DDO 51 photometry extracted from APOGEE,1,0
PMRA_APOGEE,PMRA_APOGEE,COORD,Proper motion measurement in right ascension in mas/yr (see PM_SRC) extracted from APOGEE,0,0
PMDEC_APOGEE,PMDEC_APOGEE,COORD,Proper motion measurement in declination in mas/yr (see PM_SRC) extracted from APOGEE,0,0
PM_SRC_APOGEE,PM_SRC_APOGEE,METAOBS,Catalog used for proper motion measurements in APOGEE,0,0
ALL_VISITS_APOGEE,ALL_VISITS_APOGEE,METAOBS,"List of ALL visits, including ones judged as bad in APOGEE",1,0
VISITS_APOGEE,VISITS_APOGEE,METAOBS,List of visits going into combined spectrum in APOGEE,1,0
ALL_VISIT_PK_APOGEE,ALL_VISIT_PK_APOGEE,METAOBS,"Index of visits (all visits, including ones judged as bad) in allVisit file in APOGEE",1,0
VISIT_PK_APOGEE,VISIT_PK_APOGEE,METAOBS,Index of visits (used in combined spectrum) in allVisit file in APOGEE,1,0
FPARAM_CLASS_APOGEE,FPARAM_CLASS_APOGEE,DELETE,Raw FERRE parameters for each class for which fit was performed (see CLASSES tag in HDU3 for class names from APOGEE,1,0
CHI2_CLASS_APOGEE,CHI2_CLASS_APOGEE,METAOBS,CHI2 for each class for which fit was performed (see CLASSES tag in HDU3 for class names) from APOGEE,1,0
SOURCE_ID_GAIA_APOGEE,GAIA_SOURCE_ID_APOGEE,ID,Gaia source ID from Gaia DR2 obtained from APOGEE DR16,0,0
PARALLAX_GAIA_APOGEE,GAIA_PARALLAX_APOGEE,COORD,Absolute stellar parallax of the source in milliarcseconds at the reference epoch ref_epoch in Gaia DR2 obtained from APOGEE DR16,0,0
ERROR_PARALLAX_GAIA_APOGEE,GAIA_PARALLAX_ERROR_APOGEE,COORD,Uncertainty in parallax in milliarcseconds at reference epoch in Gaia DR2 obtained from APOGEE DR16,0,0
PMRA_GAIA_APOGEE,GAIA_PMRA_APOGEE,COORD,Gaia proper motion in ra in mas/yr from Gaia DR2 obtained from APOGEE DR16,0,0
ERROR_PMRA_GAIA_APOGEE,GAIA_PMRA_ERROR_APOGEE,COORD,Uncertainty in Gaia proper motion in ra in mas/yr from Gaia DR2 obtained from APOGEE DR16,0,0
PMDEC_GAIA_APOGEE,GAIA_PMDEC_APOGEE,COORD,Gaia proper motion in dec in mas/yr from Gaia DR2 obtained from APOGEE DR16,0,0
ERROR_PMDEC_GAIA_APOGEE,GAIA_PMDEC_ERROR_APOGEE,COORD,Uncertainty in Gaia proper motion in dec in mas/yr from Gaia DR2 obtained from APOGEE DR16,0,0
PHOT_G_MEAN_MAG_GAIA_APOGEE,GAIA_PHOT_G_MEAN_MAG_APOGEE,PHOT,Gaia G magnitude from Gaia DR2 obtained from APOGEE DR16,0,0
PHOT_BP_MEAN_MAG_GAIA_APOGEE,GAIA_PHOT_BP_MEAN_MAG_APOGEE,PHOT,Gaia Bp magnitude from Gaia DR2 obtained from APOGEE DR16,0,0
PHOT_RP_MEAN_MAG_GAIA_APOGEE,GAIA_PHOT_RP_MEAN_MAG_APOGEE,PHOT,Gaia Rp magnitude from Gaia DR2 obtained from APOGEE DR16,0,0
PHOT_BP_N_CONTAMINATED_TRANSITS_GAIA,phot_bp_n_contaminated_transits_GAIA,METAOBS,Number of BP contaminated transits (short) Number of BP transits that contributed to the mean photometry and were considered to be contaminated by one or more nearby sources. The contaminating sources may come from the other field of view from GAIA,0,0
PHOT_BP_N_BLENDED_TRANSITS_GAIA,phot_bp_n_blended_transits_GAIA,METAOBS,Number of BP blended transits (short). Number of BP transits that contributed to the mean photometry and were flagged to be blends of more than one source (i.e. more than one source is present in the observing window). The blended sources may come from different fields of view. from GAIA,0,0
PHOT_RP_N_CONTAMINATED_TRANSITS_GAIA,phot_rp_n_contaminated_transits_GAIA,METAOBS,Number of RP contaminated transits from GAIA,0,0
PHOT_RP_N_BLENDED_TRANSITS_GAIA,phot_rp_n_blended_transits_GAIA,METAOBS,Number of RP blended transits from GAIA,0,0
PHOT_PROC_MODE_GAIA,phot_proc_mode_GAIA,METAOBS,"This flag indicates the photometric calibration process used for the source. The process is determined by the availability of colour information derived from the internally calibrated mean BP and RP source spectra. The following values are defined for Gaia EDR3: 0: this corresponds to the gold photometric dataset. Sources in this dataset have complete colour information. 1: this corresponds to the silver photometric dataset. Sources in this dataset have incomplete colour information and therefore were calibrated using an iterative process that estimated the missing colour information from the source mean G and either BP or RP photometry (depending on which band had full colour information available) using empirical relationships derived from the gold dataset. 2: this corresponds to the bronze photometric dataset. Sources in this dataset had insufficient colour information and therefore were calibrated using default colour information derived from the gold dataset. from GAIA",0,0
RADIAL_VELOCITY_GAIA_APOGEE,GAIA_RADIAL_VELOCITY_APOGEE,CHEM,Gaia line-of-sight velocity in km/s from Gaia DR2 obtained from APOGEE DR16,0,0
ERROR_RADIAL_VELOCITY_GAIA_APOGEE,GAIA_RADIAL_VELOCITY_ERROR_APOGEE,CHEM,Uncertainty in Gaia line-of-sight velocity in km/s from Gaia DR2 obtained from APOGEE DR16,0,0
R_EST_BAILERJONES_APOGEE,GAIA_R_EST_APOGEE,COORD,Gaia Bailer-Jones distance estimate in pc from Gaia DR2 obtained from APOGEE DR16,0,0
LOWER_ERROR_R_BAILERJONES_APOGEE,GAIA_R_LO_APOGEE,COORD,16th percentile Gaia Bailer-Jones distance estimate in pc from Gaia DR2 obtained from APOGEE DR16,0,0
UPPER_ERROR_R_BAILERJONES_APOGEE,GAIA_R_HI_APOGEE,COORD,84th percentile Gaia Bailer-Jones distance estimate in pc from Gaia DR2 obtained from APOGEE DR16,0,0
TEFF_SPEC_APOGEE,TEFF_SPEC_APOGEE,CHEM,ASPCAP spectroscopic effective temperature in Kelvin dublicated from FPARAM in APOGEE DR16,0,0
LOGG_SPEC_APOGEE,LOGG_SPEC_APOGEE,CHEM,ASPCAP spectroscopic surface gravity in log(cgs) dublicated from FPARAM in APOGEE DR16,0,0
NVISITS_BINARY,n_visits_BINARY,METAOBS,Number of visits with APOGEE from Price-Whelan+2020,1,0
MAP_P_BINARY,MAP_P_BINARY,COORD,Orbital period in days from Price-Whelan+2020,0,0
ERROR_MAP_P_BINARY,MAP_P_err_BINARY,COORD,Uncertainty in orbital period in days from Price-Whelan+2020,0,0
MAP_E_BINARY,MAP_e_BINARY,COORD,Orbital eccentricity from Price-Whelan+2020,0,0
ERROR_MAP_E_BINARY,MAP_e_err_BINARY,COORD,Uncertainty in eccentricity from Price-Whelan+2020,0,0
MAP_OMEGA_BINARY,MAP_omega_BINARY,COORD,Argument of pericenter in radians from Price-Whelan+2020,1,0
ERROR_MAP_OMEGA_BINARY,MAP_omega_err_BINARY,COORD,Uncertainty in argument of pericenter in radians from Price-Whelan+2020,1,0
MAP_M0_BINARY,MAP_M0_BINARY,COORD,Phase at reference epoch in radians from Price-Whelan+2020,1,0
ERROR_MAP_M0_BINARY,MAP_M0_err_BINARY,COORD,Uncertainty in phase at reference epoch in radians from Price-Whelan+2020,1,0
MAP_K_BINARY,MAP_K_BINARY,COORD,Velocity of semi-amplitude in km/s from Price-Whelan+2020,0,0
ERROR_MAP_K_BINARY,MAP_K_err_BINARY,COORD,Uncertainty in velocity of semi-amplitude in km/s from Price-Whelan+2020,0,0
MAP_V0_BINARY,MAP_v0_BINARY,COORD,Systemic velocity in km/s from Price-Whelan+2020,0,0
ERROR_MAP_V0_BINARY,MAP_v0_err_BINARY,COORD,Uncertainty in systematic velocity in km/s from Price-Whelan+2020,0,0
REFERENCE_EPOCH_BINARY,t0_bmjd_BINARY,COORD,Reference epoch (Barycentric MJD) from Price-Whelan+2020,1,0
MAP_LN_LIKELIHOOD_BINARY,MAP_ln_likelihood_BINARY,COORD,the log-marginal-likelihood value of the MAP sample in Price-Whelan+2020,1,0
MAP_LN_PRIOR_BINARY,MAP_ln_prior_BINARY,COORD,The log-prior value of the MAP sample in Price-Whelan+2020,1,0
MAX_UNMARGINALIZED_LN_LIKELIHOOD_BINARY,max_unmarginalized_ln_likelihood_BINARY,COORD,The maximum value of the unmarginalized likelihood in Price-Whelan+2020,1,0
JOKER_COMPLETED_BINARY,joker_completed_BINARY,METAOBS,Flag in Price-Whelan+2020. True if the source has 512 samples from The Joker,1,0
MAX_PHASE_GAP_BINARY,max_phase_gap_BINARY,METAOBS,The maximum gap in phase of the data for the MAP sample in Price-Whelan+2020,1,0
PERIODS_SPANNED_BINARY,periods_spanned_BINARY,METAOBS,The number of (MAP) periods spanned by the data in Price-Whelan+2020,1,0
PHASE_COVERAGE_BINARY,phase_coverage_BINARY,METAOBS,The phase-coverage of the data folded on the MAP period in Price-Whelan+2020,1,0
PHASE_COVERAGE_PER_PERIOD_BINARY,phase_coverage_per_period_BINARY,METAOBS,The maximum number of data points within a single MAP period in Price-Whelan+2020,1,0
UNIMODAL_BINARY,unimodal_BINARY,METAOBS,Flag in Price-Whelan+2020. True if the sampling is unimodal in period.,1,0
EMCEE_COMPLETED_BINARY,emcee_BINARY,METAOBS,Flag in Price-Whelan+2020. True if the source has 512 samples from MCMC,1,0
GELMAN_RUBIN_MED_BINARY,gelman_rubin_med_BINARY,METAOBS,The median (over parameters) value of Rhat in Price-Whelan+2020,1,0
GELMAN_RUBIN_MAX_BINARY,gelman_rubin_max_BINARY,METAOBS,The maximum (over parameters) value of Rhat in Price-Whelan+2020,1,0
CONSTANT_LN_LIKELIHOOD_BINARY,constant_ln_likelihood_BINARY,METAOBS,Not explained in Price-Whelan+2020,1,0
